Version name,File name,Size,NR,NAuth,LOCTouched,LOCAdded,MAX_LOC_Added,AVG_LOC_Added,Churn,MAX_Churn,AVG_Churn,bugginess
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,162,6,3,183,173,151,29,162,151,27,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,147,2,1,147,147,147,74,147,147,74,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,63,7,3,409,237,126,34,63,126,9,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,282,6,3,300,291,249,49,282,249,47,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,582,16,4,1812,1199,410,75,582,410,36,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,216,8,3,246,231,204,29,216,204,27,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,65,5,3,93,79,61,16,65,61,13,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,155,11,3,322,239,167,22,155,167,14,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,81,5,3,103,92,80,18,81,80,16,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,84,4,2,176,130,83,33,84,83,21,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,901,22,4,2489,1697,547,77,901,547,41,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,170,11,3,303,237,140,22,170,140,15,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,152,13,4,355,254,178,20,152,178,12,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,169,7,3,205,187,138,27,169,138,24,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,187,8,4,231,209,170,26,187,170,23,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,90,4,3,132,111,87,28,90,87,23,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,85,3,2,87,86,85,29,85,85,28,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,229,11,4,277,253,178,23,229,178,21,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,172,8,3,192,182,75,23,172,75,22,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,498,21,3,777,640,209,30,498,209,24,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,132,4,3,146,139,75,35,132,75,33,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,529,13,3,601,566,521,44,529,521,41,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,690,20,4,1066,879,573,44,690,573,35,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,148,2,1,148,148,148,74,148,148,74,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,174,4,2,194,184,173,46,174,173,44,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,148,4,2,168,158,147,40,148,147,37,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,99,8,3,1574,837,763,105,99,763,12,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,253,10,4,714,484,209,48,253,209,25,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,54,4,3,64,59,54,15,54,54,14,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,98,3,2,106,102,98,34,98,98,33,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,39,4,2,59,49,38,12,39,38,10,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,69,4,3,127,98,94,25,69,94,17,YES
4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java,258,5,3,298,278,256,56,258,256,52,NO
4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java,46,20,4,855,453,176,23,46,176,2,YES
4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java,237,9,3,337,288,232,32,237,232,26,NO
4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,359,9,4,472,416,305,46,359,305,40,YES
4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java,1105,13,3,1489,1298,720,100,1105,720,85,YES
4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/CloseTest.java,100,5,3,116,108,74,22,100,74,20,NO
4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java,183,9,3,229,206,178,23,183,178,20,YES
4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java,155,6,3,206,181,163,30,155,163,26,YES
4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java,118,6,3,142,131,117,22,118,117,20,NO
