Dataset,#TrainingRelease,%Training,%Defective in training,%Defective in testing,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Classifier,Precision,Recall,AUC,Kappa
AVRO,2,5.16%,65.37%,99.36%,undersampling,Best first,Sensitive Threshold,90.0,0.0,1.0,66.0,NaiveBayes,1.0,0.577,0.788,0.017,
AVRO,2,5.16%,65.37%,99.36%,undersampling,Best first,Sensitive Threshold,114.0,0.0,1.0,42.0,IBk,1.0,0.731,0.865,0.033,
AVRO,2,5.16%,65.37%,99.36%,undersampling,Best first,Sensitive Learning,154.0,0.0,1.0,2.0,RandomForest,1.0,0.987,1.0,0.495,
AVRO,2,5.16%,65.37%,99.36%,undersampling,Best first,Sensitive Learning,89.0,0.0,1.0,67.0,NaiveBayes,1.0,0.571,0.853,0.017,
AVRO,2,5.16%,65.37%,99.36%,undersampling,Best first,Sensitive Learning,114.0,0.0,1.0,42.0,IBk,1.0,0.731,0.968,0.033,
AVRO,2,5.16%,65.37%,99.36%,SMOTE,No Feature Selection,No cost sensitive,128.0,0.0,1.0,28.0,RandomForest,1.0,0.821,1.0,0.055,
AVRO,2,5.16%,65.37%,99.36%,SMOTE,No Feature Selection,No cost sensitive,55.0,0.0,1.0,101.0,NaiveBayes,1.0,0.353,0.378,0.007,
AVRO,2,5.16%,65.37%,99.36%,SMOTE,No Feature Selection,No cost sensitive,140.0,0.0,1.0,16.0,IBk,1.0,0.897,0.923,0.1,
AVRO,2,5.16%,65.37%,99.36%,SMOTE,No Feature Selection,Sensitive Threshold,153.0,0.0,1.0,3.0,RandomForest,1.0,0.981,0.99,0.394,
AVRO,2,5.16%,65.37%,99.36%,SMOTE,No Feature Selection,Sensitive Threshold,72.0,1.0,0.0,84.0,NaiveBayes,0.986,0.462,0.231,-0.013,
AVRO,2,5.16%,65.37%,99.36%,SMOTE,No Feature Selection,Sensitive Threshold,140.0,0.0,1.0,16.0,IBk,1.0,0.897,0.949,0.1,
AVRO,2,5.16%,65.37%,99.36%,SMOTE,No Feature Selection,Sensitive Learning,153.0,0.0,1.0,3.0,RandomForest,1.0,0.981,1.0,0.394,
AVRO,2,5.16%,65.37%,99.36%,SMOTE,No Feature Selection,Sensitive Learning,72.0,1.0,0.0,84.0,NaiveBayes,0.986,0.462,0.378,-0.013,
AVRO,2,5.16%,65.37%,99.36%,SMOTE,No Feature Selection,Sensitive Learning,140.0,0.0,1.0,16.0,IBk,1.0,0.897,0.923,0.1,
AVRO,2,5.16%,65.37%,99.36%,SMOTE,Best first,No cost sensitive,133.0,0.0,1.0,23.0,RandomForest,1.0,0.853,1.0,0.069,
AVRO,2,5.16%,65.37%,99.36%,SMOTE,Best first,No cost sensitive,65.0,0.0,1.0,91.0,NaiveBayes,1.0,0.417,0.853,0.009,
AVRO,2,5.16%,65.37%,99.36%,SMOTE,Best first,No cost sensitive,119.0,0.0,1.0,37.0,IBk,1.0,0.763,0.971,0.039,
AVRO,2,5.16%,65.37%,99.36%,SMOTE,Best first,Sensitive Threshold,151.0,0.0,1.0,5.0,RandomForest,1.0,0.968,0.984,0.278,
AVRO,2,5.16%,65.37%,99.36%,SMOTE,Best first,Sensitive Threshold,90.0,0.0,1.0,66.0,NaiveBayes,1.0,0.577,0.788,0.017,
AVRO,2,5.16%,65.37%,99.36%,SMOTE,Best first,Sensitive Threshold,119.0,0.0,1.0,37.0,IBk,1.0,0.763,0.881,0.039,
AVRO,2,5.16%,65.37%,99.36%,SMOTE,Best first,Sensitive Learning,153.0,0.0,1.0,3.0,RandomForest,1.0,0.981,1.0,0.394,
AVRO,2,5.16%,65.37%,99.36%,SMOTE,Best first,Sensitive Learning,90.0,0.0,1.0,66.0,NaiveBayes,1.0,0.577,0.853,0.017,
AVRO,2,5.16%,65.37%,99.36%,SMOTE,Best first,Sensitive Learning,119.0,0.0,1.0,37.0,IBk,1.0,0.763,0.971,0.039,
AVRO,3,9.08%,80.33%,10.13%,No sampling,No Feature Selection,No cost sensitive,7.0,44.0,98.0,9.0,RandomForest,0.137,0.438,0.611,0.065,
